booking_id,age,country,travel_type,transport,hotel_stars,nights,distance_km,season,booking_advance_days,travel_insurance,total_price,cancelled
1,56,Italy,Leisure,Plane,4,8,2380,Autumn,75,yes,2140.66,no
2,69,UK,Leisure,Train,4,6,9247,Autumn,93,yes,2315.84,no
3,46,France,Leisure,Plane,2,14,7896,Summer,172,no,2465.75,no
4,32,Spain,Leisure,Plane,2,3,4667,Winter,137,no,1254.79,no
5,60,UK,Leisure,Plane,3,13,9400,Spring,42,no,2556.83,no
6,25,Spain,Leisure,Plane,1,13,9834,Winter,157,yes,3132.25,no
7,38,Spain,Business,Plane,3,1,8672,Spring,79,no,2046.66,no
8,56,France,Leisure,Plane,2,5,1355,Spring,81,yes,1158.73,no
9,36,Germany,Leisure,Plane,5,12,6562,Summer,58,yes,3109.8,no
10,40,UK,Leisure,Train,3,11,1758,Spring,86,yes,1999.05,no
11,28,France,Leisure,Plane,2,2,2748,Summer,177,no,797.33,no
12,28,Spain,Leisure,Train,2,13,3471,Autumn,107,yes,2208.55,no
13,41,France,Business,Plane,5,2,3529,Summer,139,yes,1723.24,no
14,70,Germany,Leisure,Train,5,9,9872,Summer,102,yes,2798.46,no
15,53,USA,Leisure,Plane,5,11,4960,Summer,54,yes,2366.86,no
16,57,UK,Leisure,Plane,1,13,7720,Autumn,30,no,2756.76,no
17,41,Germany,Leisure,Train,2,10,3032,Summer,65,yes,1991.12,no
18,20,Italy,Leisure,Plane,5,7,5186,Spring,58,no,1938.33,no
19,39,UK,Leisure,Plane,1,6,9878,Spring,37,no,1965.28,no
20,70,Germany,Leisure,Plane,4,13,6749,Summer,118,yes,2833.85,no
21,19,Spain,Leisure,Train,4,1,8219,Spring,73,no,1616.16,no
22,41,UK,Leisure,Plane,4,14,5083,Summer,69,yes,2821.45,no
23,61,UK,Business,Plane,2,10,2621,Autumn,152,no,1999.82,no
24,47,France,Leisure,Plane,1,2,2802,Spring,63,yes,556.09,no
25,55,Spain,Business,Train,1,11,118,Summer,94,no,2365.49,no
26,19,Italy,Business,Plane,4,7,2669,Winter,179,no,1778.81,no
27,38,USA,Leisure,Plane,3,3,883,Autumn,15,yes,729.16,no
28,50,Germany,Leisure,Plane,4,2,9998,Winter,175,yes,2032.87,no
29,29,France,Leisure,Plane,2,6,514,Summer,174,yes,1045.5,no
30,39,Germany,Leisure,Plane,4,8,8655,Spring,30,yes,2309.64,no
31,61,Italy,Leisure,Plane,4,8,1203,Summer,113,yes,1300.55,no
32,42,Italy,Business,Plane,1,11,4991,Spring,79,no,2563.53,no
33,66,UK,Business,Plane,4,2,5409,Summer,148,yes,1742.13,no
34,44,Italy,Leisure,Plane,5,6,1271,Summer,57,yes,1654.3,no
35,59,Germany,Leisure,Plane,5,12,9990,Spring,177,yes,3872.37,no
36,45,Spain,Leisure,Train,3,5,8734,Spring,56,yes,1837.66,no
37,33,Spain,Business,Plane,2,7,6508,Summer,56,yes,2178.59,no
38,32,UK,Leisure,Plane,2,4,4845,Winter,153,no,1066.43,no
39,64,USA,Leisure,Train,1,12,4661,Autumn,9,no,2642.59,yes
40,68,Germany,Business,Plane,2,13,8272,Winter,22,yes,3159.54,no
41,61,Germany,Leisure,Plane,3,2,6736,Winter,77,yes,1550.19,no
42,72,Italy,Business,Plane,5,10,2689,Winter,165,yes,3069.27,no
43,69,Germany,Leisure,Plane,1,3,9795,Winter,124,no,2095.26,no
44,74,France,Leisure,Train,5,9,5822,Spring,28,no,2904.2,no
45,20,USA,Business,Train,3,10,822,Winter,142,no,2641.15,no
46,54,Italy,Leisure,Plane,1,8,941,Autumn,158,yes,1566.48,no
47,68,France,Leisure,Plane,4,13,2447,Spring,167,no,2709.87,no
48,24,UK,Leisure,Plane,2,9,745,Winter,133,yes,1313.55,no
49,38,Spain,Leisure,Plane,3,5,8315,Spring,12,yes,2234.66,no
